PCName,PCType,Sex,Category,Age,Party
Bankura,GEN,M,GEN,67,CPM
Bishnupur,SC,F,SC,34,CPM
Bardhaman Purba,SC,M,SC,53,CPM
Burdwan - durgapur,GEN,M,GEN,55,CPM
Asansol,GEN,M,GEN,49,CPM
Bolpur,SC,M,SC,51,CPM
Birbhum,GEN,F,GEN,40,AITC
SARGUJA,ST,M,ST,49,BJP
RAIGARH,ST,M,ST,45,BJP
JANJGIR-CHAMPA,SC,F,SC,43,BJP
KORBA,GEN,M,GEN,54,INC
BILASPUR,GEN,M,GEN,60,BJP
RAJNANDGAON,GEN,M,GEN,38,BJP
DURG,GEN,F,GEN,40,BJP
RAIPUR,GEN,M,GEN,61,BJP
MAHASAMUND,GEN,M,GEN,49,BJP
BASTAR,ST,M,ST,73,BJP
KANKER,ST,M,ST,49,BJP
Rajmahal,ST,M,ST,69,BJP
Dumka,ST,M,ST,64,JMM
Godda,GEN,M,GEN,37,BJP
Chatra,GEN,M,GEN,62,IND
Kodarma,GEN,M,ST,51,JVM
Giridih,GEN,M,GEN,50,BJP
Dhanbad,GEN,M,GEN,60,BJP
Ranchi,GEN,M,GEN,57,INC
Jamshedpur,GEN,M,ST,41,BJP
Singhbhum,ST,M,ST,38,IND
Khunti,ST,M,ST,72,BJP
Lohardaga,ST,M,ST,40,BJP
Palamau,SC,M,SC,56,JMM
Hazaribagh,GEN,M,GEN,71,BJP
Tehri Garhwal,GEN,M,GEN,62,INC
Garhwal,GEN,M,GEN,56,INC
Almora,SC,M,SC,47,INC
Nainital-udhamsingh Nagar,GEN,M,GEN,60,INC
Hardwar,GEN,M,GEN,59,INC
Andaman & nicobar islands,GEN,M,GEN,59,BJP
Chandigarh,GEN,M,GEN,60,INC
Dadar & Nagar Haveli,GEN,M,ST,36,BJP
Daman & diu,GEN,M,GEN,53,BJP
CHANDNI CHOWK,GEN,M,GEN,60,INC
NORTH EAST DELHI,GEN,M,GEN,64,INC
EAST DELHI,GEN,M,GEN,44,INC
NEW DELHI,GEN,M,GEN,45,INC
NORTH WEST  DELHI,SC,F,SC,54,INC
WEST  DELHI,GEN,M,GEN,54,INC
SOUTH DELHI,GEN,M,GEN,53,INC
Lakshadweep,ST,M,ST,26,INC
Puducherry,GEN,M,GEN,61,INC
